,Consumer_Comments
10,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. At this time, your order is locked and has moved to fulfillment. We are unable to make any edits to your order during this time."
11,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. I have cancelled your order. you."
12,"(44 kB) Hi Thomas Britton, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Left VM, will follow-up again this afternoon. Spoke with partner, closing out ticket"
13,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank you for your response! Good afternoon, Thank you for contacting customer support. I have updated your order with 5 of item 700702 and 3 of item 700701 because that is all we had left. you so so much\! Be blessed!"
14,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. For recipe cards and other nutrition education resources, please contact"
15,"Hi s Customer Relations Department! are Monday through Friday, 8 a.m. to 5 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. SO157930 has been cancelled."
16,"qm: Hi s Customer Relations Department! are Monday through Friday, 8 a.m. to 5 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. Jazmin Haley is more than welcome to attend our next SMART Shopper Training on May 16th. Please note that a letter of authorization is required for all new shoppers and should be sent over via email on your agency s letterhead, signed by the Executive Director or Pastor of your organization. The SMART Shopping Training on 5/16 will be held on Zoom from 10-11am. Please join using the following link: ^May 16th^ |One tap mobile:|US: or | |Meeting URL:|[ |Meeting ID:|844 5557 8157| |Passcode:|088900|"
17,"Hi s Customer Relations Department! are Monday through Friday, 8 a.m. to 5 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. You are able to schedule orders up to 10 business days in advance. If you would like to schedule an order for June 7th, the earliest you would be able to see that date available would be May 24th. To be certain, I would check on the 23rd as well."
18,"Good morning, Zaynab. I just got off the phone with the partner and Joe. Joe sent over a driver with their order, which will arrive at their site around PM."
19,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. I have made your requested changes to your order."
20,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting Customer Support. We are able to move your order to 9am or 10am, the morning of the 13th. Do you have a preference? Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Good morning, Thank you for contacting customer support. We have moved your pick-up appointment to 9-10am on 6/13."
21,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. There are unfortunately no more delivery slots available for Friday, May 15th. We apologize for the inconvenience. , How early do we have to schedule deliveries? We have one delivery every 3rd Saturday of the month. If we are unable to place the order, please cancel the delivery for the produce boxes that are scheduled to be delivered Sat. morn. We will not need them if we can't have our distribution. Sincerely, Eileen Light Appointments on the calendar are available to view as early as 10 business days prior to your desired date. I have escalated your request to my supervisor and we are waiting to hear back from our Transportation team to see what we can do to accommodate your delivery appointment on the 17th. Good morning Eileen, Just following up with details from our call earlier. Please go ahead and put an order in on PartnerLink choosing any available date and time in the system. Once completed, please send over the Sales Order number and we will internally update the order to be delivered on Friday, May 17th. Thank you for your patience and understanding. : Here is the order no.: #SO160276 Much thanks, Eileen Thank you for sending over the Sales Order Number. Can you please confirm which time frame you would prefer for your delivery? Our order for this Friday is still showing up in the System for Monday delivery (5/20). The Order is SO160276. Please advise. Sincerely, Eileen"
22,"Hi Michelle Limes, s Customer Relations Department! are Monday through Friday, 8 a.m. to 5 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. I have made the requested edits to your order. As of right now there is no additional produce I can add to your order and will keep your ticket on hold to add more produce in the instance that we get more added to our inventory. thank you so much! Closing out ticket-- partner deleted potatoes and moved order to pick-up."
23,"Hi Steve Lane, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon and thank you for contacting customer support. I have forwarded your request to our transportation team. I will follow up with you as soon as I get a response CiArra Please Disregard last message, I am still waiting on a response from the transportation team CiArra Good morning and thank you for your patience. The transportation manager has relayed this information to me. Unfortunately, I was out of the office when they reached out to me We went to pick up the pallets today at Church of The Redemer today. The pallets are laid on their side on the side and back of the trash can. Can we please instruct this customer that the pallets should be stacked atop one another on a flat surface so that the driver can pick them up with his pallet jack Please advise when this is done so that I can inform our transportation team and they will be able to reschedule you for a pickup CiArra Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR , We will have the pallets stacked and ready for pickup first thing Monday morning. They will be located by the dumpsters in the back of the property, not far from the small pavilion and the outdoor playground area. The CAFB truck does not need to leave the pavement. Let us know which day you will pick up. Thank you. Transportation would like to send drivers to come pick up the remaining pallets on Monday. Would that be alright with you all or does another day work better? CiArra , Monday is good. Thank you.,,,,{""type"":""text"",""text"":""www.church-redeemer.org"",""marks"":[{""type"":""link"",""attrs"":{""href"":"" Good morning, We have a driver who is on their way to retrieve the pallets at your site. Thank you, ""D"" picked them up earlier. Thank you very much."
24,"Hi Chris Rief, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. We have removed the 20 cases of mangos from your order. you!"
25,"Hi s Customer Relations Department! are Monday through Friday, 8 a.m. to 5 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank The partner sent this via email without many details. A NetSuite search identified SO158855 as the record with an outstanding balance. I updated ticket fields with the details. The order was placed today (4/28/2024). There was a grant applied but it did leave a 172.27 balance. I do not know how to look up which grant was applied and if there are still funds available to cover this balance. Brad Good afternoon, I hope this message finds you well. I am writing to inform you that you can only apply one grant to a single line item. Currently, you have a remaining balance of $30.17 on your 1-H grant, which the system is trying to use to cover the cost of your 300015 Macaroni & Cheese. If you order a line item that costs more than $30.17, you will still have a balance. However, if you would like to use your other grant, which has a larger balance and can cover the entire line item cost of $202.44, we can arrange that for you so that you won't have any remaining balance to pay for this sales order. Please let me know which grant you would like to use, and I will put in a ticket with my IT team to make the necessary changes. Thank you, Daniele use I-I to cover the balance. Do I have to order something for 30.17 to use that grant?,,]},,,]}],""attrs"":} Yes- you would need to order something that amount or less to use that grant and get the item covered, or it can still be applied; you will just have a balance afterward. You may order an item that is $50, and you will owe $20 afterward- in this case, the difference is larger so I will request that they use your larger grant. When this is complete I will let you know. The IT team has made this change. If you edit the order, it will revert back to the original coverage, so please let me know if you plan on editing it. will probably not. Good evening, Your grants have been applied to cover the entirety of your order. You have no remaining balance due. Thank you, ""D"""
26,"Hi s Customer Relations Department! are Monday through Friday, 8 a.m. to 5 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. Please provide me with the Sales Order number and the Item Number that you would like removed. Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Please remove item number 825065 from the above SO.,,]},,,]}],""attrs"":} Good afternoon, We have made your requested edits to your order."
27,"She attended the training on November 7th along with her colleague Raisa Johnson. Hi Lauren, While we do not have an attendance record for Perina Gaines in our SMART Shopper trainings, I did facilitate the session that Raisa attended. There have been instances however, where additional shoppers are viewing the training along with the registered participant, which I am wondering if this is the case. I have gone ahead and granted her access to PL as she is an existing contact for their agency. Please note that she will receive an automatic email from Netsuite with the subject line of Access to Capital Area Food Bank with instructions for logging in for as a new shopper. Hope this helps!"
28,"qm: (42 kB) Hi Shevette Greenhow, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Morning, I received delivery confirmation for this order this morning. However, I did not receive any response regarding my email below to add two items to the order. Was my email below received? Please let me know as I didn t receive any response regarding the request either way unless I overlooked it. Thank you, Shevette Begin forwarded message: (42 kB) Good morning, Thank you for contacting customer support. I have made these edits to your order. The last day to make edits to your order is 5/6. , Okay, great! Thank you, Shevette From: CH Sent: Friday, May 3, 2024 AM To: Subject: PART1-6494 Sales Order #SO158993 - ADD SOMETHING!!"
29,"Hi CH, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Followed-up with ""D"" and confirmed date change for order."
30,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Can you please confirm the Sales Order number (beginning with SO) to add to your order. Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. order is SO163028 Thank you. Good afternoon, At this time, your order is locked and has moved to fulfillment for delivery on 6/6. I am unable to make any edits to your order. Please keep in mind that orders can be edited up to 3 business days before your delivery/pick-up date."
31,"Hi s Customer Relations Department! are Monday through Friday, 8 a.m. to 5 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. Item #364029 has an expiration date of 6/4/24 in our system. We will check internally to make sure it s accurately posted online."
32,
33,"(630 kB) Hi Thomas Britton, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Followed up with partner via phone and connected them to training today and future trainings."
34,"Good afternoon, Thank you for contacting customer support. This is confirmation that we rescheduled your order SO195827 to Thursday, February 27th, from 11am-12pm."
35,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon and thank you for contacting customer support. Your order has been updated as requested CiArra"
36,"Good morning, Thank you for reaching out to us! We have cancelled this order, and the driver is returning it to the warehouse. Once we recieve it we will process a return for it. Thank you! ""D"" The order was returned to our warehouse and the return process has been initiated: RMA3321"
37,"!Outlook-A picture .png|thumbnail! monitoring- ciarra Subject: Update on Delivery for Lutheran Church Hi Alanna, The driver (Rodney) informed me that the Lutheran Church typically receives their orders at AM. He wanted to ensure that she didn't receive her food late, so he decided to deliver it to her first. I advised the driver to follow the instructions provided on his phone and on paper from now on. He explained that he was just trying to help her out. Best regards, Karen ---- Good afternoon, Alanna, Thank you for passing this along. It looks like Karen has responded thank you, Karen! Could we also schedule a pallet pickup for Abiding Presence by the end of the week, preferably as soon as possible? Thank you, Alanna, for your feedback! Best, ""D"" Good morning, Yes, I can schedule a pallet pickup for Abiding today. Thanks, Karen ---- I believe we have already picked up the pallets from the Lutheran Church of the Abiding. ----"
38,"Good afternoon, Thank you for contacting customer support. I am closing out this ticket as we spoke on the phone and your issue is resolved."
39,"Good afternoon, Thank you for contacting customer support. The Hours of Operation training will be held on Zoom. The link for this meeting can be found in the confirmation email you received once you registered."
40,"qm: Good afternoon, We hope this message finds you well and that you are staying safe in this weather! This is to confirm that your order SO190198 will be delivered on Monday, January 13th, from 10 AM to 12 PM. Thank you, ""D"""
41,"Hi Zelda Shields, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon and thank you for contacting customer support. I am following up with our operations and warehouse team to see what may have happened to the potatoes on your order and will update you as soon I can receive feedback from their investigation. For the cantaloupes; I did not get your entire message and am only seeing Also a lot of the cantaloupes . Could you please provide more context? Also, are there any photos you could send so that I may forward them to our inventory team? We apologize for the confusion that this may have caused and appreciate your assistance in resolving this issue CiArra Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, I ve tried to find the update to respond but I don t see it. Can you show me where to look. On May 20, 2024, at PM, Automation for Jira wrote: - - - Reply above this line. Automation for Jira commented: Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR [View request| [Turn off this request's notifications| This is shared with Zelda Shields. [ Sent on May 20, 2024 :52 PM EDT Good afternoon, I attempted to call you and was unsuccessful in reaching you. I did want to report that the potatoes were not sent out with your order due to a lack of inventory. We apologize for the lack of communication and are working with our warehouse team to prevent this from happening in the future. Please provide more context for the cantaloupes at your earliest convenience CiArra Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, CR Good morning Zelda, I will be closing this ticket due to inactivity. Please submit a new one if you are still needing assistance CiArra"
42,"Good Afternoon\! Your estimated delivery window, is 12p-2pm. Enjoy the rest of your day\! qm: Thanks, you too!"
43,Your 9/16 delivery will arrive between - .
44,"Hi there, I will send out an email as soon as they are done routing the schedule for tomorrow. Thank you for your patience. Best, Ley evening, I never received a response for the 2 hour delivery window time. Could someone please let me know? Thank you On Oct 27, 2022, at PM, LW wrote:"
45,"Ms. Zelda, I can t give you that until the Transportation Team releases that information to me. evening Kym, Just checking to see if the Transportation Team has released the times yet. Thanks much! On Nov 17, 2022, at PM, KJ wrote: your order will arrive between 9a-11. sorry for the delay in response. we received the schedule overnight. you Kym! On Nov 18, 2022, at AM, KJ wrote:"
46,Your delivery will arrive between 12p-2p
47,"Good Morning, Ms. Zelda! Your email notification for tomorrow will come to you this afternoon. Customer Service an not release that information until we receive it from our Transportation Team. you so much. You are much appreciated!!!!!!!! Have a great day!!!"
48,"Good Morning! Please contact Ineka directly. do, thank you so much. On Jan 18, 2023, at AM, KJ wrote:"
49,"have it, thank you! On Apr 10, 2023, at PM, Partner Support DC / MD / VA wrote: Great! Apologies that it came a little late in the evening."
50,"Kym is working on getting the notifications sent out now. I can confirm your scheduled delivery window is 9am-11am. Best, Riley"
51,"Good Evening Zelda, Unfortunately, since I cannot see pending orders I cannot precisely say what the issue is. My initial thought is that the balance could be for an item that is not grant eligible, such as a donated item. Are all items on your order grant eligible? If you believe they are, screenshots would be helpful in determining what the issue might be. As a reminder, your cart will clear at midnight, so if you do want to reserve the items you will need to place by midnight tonight. Best, RC Hi Zelda, Just checking in! Can I offer any additional support? Best, RC I have not heard back from you, so I am going to close this ticket. If you need further support, please don t hesitate to reach back out. Best, RC"
52,"Hi Zelda, The actual delivery date for that item is 6/24! Apologies for the confusion. Best, Riley Riley, that works out perfectly. One other question, I selected allowable quantities of the fresh produce and saved it to my cart. I went back to lessen the quantity of an item and selected save. Logged back in to see if there was any fruit available and discovered I now have all these errors indicating the fresh vegetables are no longer available. I thought if we saved it in our box, it would be there. On Jun 13, 2023, at AM, RC wrote: Hi Zelda, I saw that you submitted a separate ticket for this matter and that my colleague ""D"" responded. If you need any additional support, please let me know. Best, RC"
53,"Good morning Zelda, I hope you are doing well. One of a few things could be happening. 1.) If you are in editing mode, which means you clicked Edit Order and you are viewing your card- there will be error messages saying that there are zero availability because there is no more left of that item to add to your order. Whatever you had on your order before starting to edit the order is secured but the error message is saying that there is no more of this item available to add more of. 2.) If you did not hit save, which I see that you said you did- then you could have lost of the items. Previously, the old system held in the carts for 24 hours, but that is no longer the case. 3.) The last instance is that throughout the day, our warehouse team members are continuously doing quality checks. If for any reason produce fails that quality check or the warehouse team deems it as not being able to make it (quality wise) to the date it's supposed to be delivered it can be taken off of your order. I am looking at your order and I do see eggplant, potatoes, cucumbers and squash on your orders. ""D"" thanks so much for explaining. I was excited for a very brief moment and then it just disappeared with the produce. Oh well maybe next month. On Jun 13, 2023, at PM, DH wrote: No problem, I apologize that that happened. I hope you enjoy the eggplant, potatoes, cucumbers and squash that are on your order!"
54,"Good morning, Thank you for contacting Customer Service. I just spoke to our Transportation Department, and they have notified me that the driver is 15 minutes away from your site. Thank you, ""D"""
55,"Good morning Zelda, Thank you for notifying me. I will get into contact with our Operations/Transportation Department to see what happened here. ""D"""
56,"Good Morning Zelda, The timing of your delivery is 8am-10am. Please see attached Sales Order as confirmation. For awareness in the future, you can see your delivery time by downloading a PDF of your order on PartnerLink. It will show you the start of the 2 hour window. !image-20230927-131203.png|width=320,height=330! Best, Riley Riley, I knew that s where I should look, I just don t know why I couldn t see it. Thanks so much again for being so helpful. I have one other question, if we are furloughed, will you guys be furloughed as well.? On Sep 27, 2023, at AM, RC wrote: Ahh I see! No, we will remain open and will be looking for ways to serve the increased demand we would expect to see in our area. Best, Riley awesome. We ve seen a big increase and it will probably get worse before it gets better. On Sep 27, 2023, at AM, RC wrote:"
57,"Hi Zelda Shields, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning and thank you for contacting customer support. I have forwarded this information to our IT team and will follow up with you as soon as they have finished troubleshooting and investigating this issue. We appreciate your patience while we work to resolve this issue CiArra Good morning and thank you for your patience, Our ERP team was able to complete this order on our end and resolve the issue. Your updated SO# is SO168351 CiArra"
58,"Hi Zelda Shields, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning and thank you for contacting customer support. Can you please double check and verify the Sales order number? SO16345 is not an order for your agencys' account CiArra My apologies, it should be SO163145. On Jun 10, 2024, at AM, CR wrote: - - - Reply above this line. CR commented: Good morning and thank you for contacting customer support. Can you please double check and verify the Sales order number? SO16345 is not an order for your agencys' account CiArra [View request| [Turn off this request's notifications| This is shared with Zelda Shields. [ Sent on June 10, 2024 :32 AM EDT I have checked our inventory and we do not have any produce that can be added to your order at this time. I will keep your ticket open until the end of the business day. I will add produce when/if they become available CiArra Good afternoon, At this time the warehouse will not be accepting anymore inventory for the work day. I will be closing this ticket, Please submit a new ticket tomorrow if you would like for us to check the menu again for available produce to add CiArra Okay thank you. On Jun 10, 2024, at AM, CR wrote: - - - Reply above this line. CR commented: I have checked our inventory and we do not have any produce that can be added to your order at this time. I will keep your ticket open until the end of the business day. I will add produce when/if they become available CiArra [View request| [Turn off this request's notifications| This is shared with Zelda Shields. [ Sent on June 10, 2024 :08 AM EDT"
59,"Hi Zelda Shields, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon Zelda, I hope that this finds you well, thank you for reaching out to Customer Service. I went ahead and looked at your account and in the remaining balance column, I see no numbers listed. I checked our records, and we also have that you have spent all your grant money. ""D"" Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH qm: ---- From: Zelda Shields Sent: Monday, July 8, 2024 PM To: Partner Support Subject: Re: PART1-6890 GRANT BALANCE STILL SHOWS IN OUR ACCOUNT DON'T HAVE ONE Hello it s no longer showing. Thank you so much. On Jul 8, 2024, at PM, DH wrote: - - - Reply above this line. DH resolved this as Done. How was our service for this request? | [ | Very poor | [ | Poor | [ | Average | [ | Good | [ | Very good | [View request| [Turn off this request's notifications| This is shared with Zelda Shields. [ Sent on July 8, 2024 :22 PM EDT !"
60,"Hi Zelda Shields, s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning, Can you please provide me with the Sales Order and Item number for the product you are referring to? Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. The order #SO170951 Items that were listed to be removed On Aug 19, 2024, at AM, Automation for Jira wrote: - - - Reply above this line. Automation for Jira commented: Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. [View request| [Turn off this request's notifications| This is shared with Zelda Shields. [ Sent on August 19, 2024 :20 AM EDT Good afternoon, Thank you for your question. Once you complete the checkout process, your items are put on a sales order and finalized. The emails you receive are due to potential errors in our inventory or the pulling process that may cause changes to your order before delivery. This can happen for two main reasons. Firstly, if the pulling team finds that the item's quality is not up to our standards for delivery, it may be removed from your order or the quantity decreased. This can occur when partners place orders well in advance and by the time the order is picked, the item may no longer meet our quality standards. Secondly, if we run out of a certain product, this could be due to periodic inventory errors where the actual count of items doesn't match what's on the menu. While we strive to minimize these occurrences, we send email notifications to keep partners informed in case such changes are necessary before their order is fulfilled. Thank you, ""D"" Hi, makes sense. I received some side eye looks from those I love so much. I tried to explain the selection was slim, and that I believed it to be secure. So again thank you guys so much. Zelda AMBC On Aug 19, 2024, at PM, DH wrote: - - - Reply above this line. DH commented: Good afternoon, Thank you for your question. Once you complete the checkout process, your items are put on a sales order and finalized. The emails you receive are due to potential errors in our inventory or the pulling process that may cause changes to your order before delivery. This can happen for two main reasons. Firstly, if the pulling team finds that the item's quality is not up to our standards for delivery, it may be removed from your order or the quantity decreased. This can occur when partners place orders well in advance and by the time the order is picked, the item may no longer meet our quality standards. Secondly, if we run out of a certain product, this could be due to periodic inventory errors where the actual count of items doesn't match what's on the menu. While we strive to minimize these occurrences, we send email notifications to keep partners informed in case such changes are necessary before their order is fulfilled. Thank you, ""D"" [View request| [Turn off this request's notifications| This is shared with Zelda Shields. [ Sent on August 19, 2024 :17 PM EDT We are currently making enhancements to our systems to minimize occurrences such as this. However, unexpected events can occasionally disrupt our inventory. While we continue working on these significant improvements, in the meantime, we want to provide advance notice to our partners regarding any ordered items that may not be available. We appreciate your patience and understanding as we address this matter. Thank you."
